Survey_Date,Age,Age_group,Gender,Region,Industry,Job_Role,Work_Arrangement,Hours_Per_Week,Mental_Health_Status,Burnout_Level,Burnout_score,Work_Life_Balance_Score,Physical_Health_Issues,Social_Isolation_Score,Salary_Range
2025-06-07,28,20-35,Female,South America,Marketing,Account Manager,Onsite,63,Stress Disorder,Low,3,3,Wrist Pain,2,$100K-120K
2025-06-07,25,20-35,Male,Asia,Manufacturing,Account Manager,Onsite,43,PTSD,Medium,4,4,Back Pain; Shoulder Pain; Eye Strain,2,$80K-100K
2025-06-07,43,36-50,Female,Oceania,Professional Services,Account Manager,Onsite,56,Depression,High,8,3,Shoulder Pain,4,$120K+
2025-06-08,50,36-50,Male,Oceania,Healthcare,Account Manager,Onsite,57,ADHD,Low,1,1,None,1,$120K+
2025-06-08,28,20-35,Male,South America,Education,Account Manager,Onsite,38,ADHD,Low,2,4,Shoulder Pain,2,$60K-80K
2025-06-08,58,51-65,Male,South America,Professional Services,Account Manager,Hybrid,52,Anxiety,Low,1,4,Eye Strain,2,$60K-80K
2025-06-08,31,20-35,Prefer not to say,North America,Retail,Account Manager,Remote,39,Burnout,High,9,5,Eye Strain; Neck Pain,2,$120K+
2025-06-08,58,51-65,Female,Europe,Technology,Account Manager,Hybrid,65,None,Medium,4,4,Back Pain; Shoulder Pain; Neck Pain,4,$80K-100K
2025-06-08,34,20-35,Female,South America,Professional Services,Account Manager,Hybrid,40,Stress Disorder,Medium,5,4,Back Pain; Neck Pain,3,$120K+
2025-06-08,55,51-65,Female,Africa,Professional Services,Account Manager,Hybrid,45,None,Medium,6,1,Eye Strain,3,$100K-120K
2025-06-09,56,51-65,Female,Africa,Professional Services,Account Manager,Remote,40,Depression,High,8,5,Shoulder Pain; Eye Strain; Neck Pain,3,$60K-80K
2025-06-09,56,51-65,Female,Asia,Marketing,Account Manager,Remote,61,Anxiety,High,9,1,Back Pain; Shoulder Pain,4,$80K-100K
2025-06-09,65,51-65,Non-binary,North America,Marketing,Account Manager,Onsite,62,Depression,Medium,6,5,Back Pain; Eye Strain; Neck Pain,2,$60K-80K
2025-06-10,50,36-50,Female,Oceania,Manufacturing,Account Manager,Hybrid,40,PTSD,Medium,6,3,Back Pain; Shoulder Pain; Eye Strain,3,$80K-100K
2025-06-10,58,51-65,Male,Asia,Healthcare,Account Manager,Hybrid,54,Stress Disorder,Low,1,2,Back Pain; Shoulder Pain,1,$80K-100K
2025-06-10,42,36-50,Female,Asia,Finance,Account Manager,Onsite,43,None,Medium,6,3,Shoulder Pain,3,$60K-80K
2025-06-10,26,20-35,Female,North America,Professional Services,Account Manager,Onsite,40,PTSD,High,7,2,Back Pain; Eye Strain,1,$60K-80K
2025-06-11,47,36-50,Female,South America,Customer Service,Account Manager,Onsite,53,ADHD,Medium,6,3,Back Pain,2,$60K-80K
2025-06-11,57,51-65,Female,Europe,Professional Services,Account Manager,Remote,43,ADHD,Medium,6,2,Eye Strain,2,$80K-100K
2025-06-11,29,20-35,Female,Oceania,Professional Services,Account Manager,Onsite,45,None,Medium,5,1,Eye Strain,2,$60K-80K
2025-06-11,26,20-35,Male,Oceania,Technology,Account Manager,Hybrid,56,None,Medium,6,3,Neck Pain; Wrist Pain,3,$60K-80K
2025-06-11,46,36-50,Male,Africa,Education,Account Manager,Hybrid,56,PTSD,Medium,4,2,Back Pain; Shoulder Pain; Eye Strain,4,$60K-80K
2025-06-12,30,20-35,Male,Oceania,Professional Services,Account Manager,Onsite,48,ADHD,Low,3,5,Back Pain; Shoulder Pain,1,$60K-80K
2025-06-12,23,20-35,Female,North America,Education,Account Manager,Onsite,48,Depression,High,7,1,Back Pain; Shoulder Pain,3,$80K-100K
2025-06-12,32,20-35,Female,South America,Professional Services,Account Manager,Onsite,56,PTSD,Low,1,5,Wrist Pain,3,$60K-80K
2025-06-12,32,20-35,Male,Oceania,Professional Services,Account Manager,Onsite,65,PTSD,Low,1,1,Back Pain; Shoulder Pain,1,$100K-120K
2025-06-12,57,51-65,Female,Africa,Marketing,Account Manager,Onsite,64,Burnout,High,8,4,Back Pain; Wrist Pain,1,$60K-80K
2025-06-13,57,51-65,Female,Asia,Finance,Account Manager,Hybrid,38,Depression,Medium,4,5,Shoulder Pain; Eye Strain,2,$40K-60K
2025-06-13,41,36-50,Female,Africa,Professional Services,Account Manager,Onsite,57,Depression,Low,1,4,Back Pain; Shoulder Pain,3,$60K-80K
2025-06-13,55,51-65,Male,Asia,Finance,Account Manager,Hybrid,48,Stress Disorder,Medium,6,2,Eye Strain; Wrist Pain,1,$100K-120K
2025-06-13,26,20-35,Male,Africa,Technology,Account Manager,Onsite,55,Anxiety,Low,2,3,Back Pain; Eye Strain,2,$80K-100K
2025-06-13,43,36-50,Male,South America,Education,Account Manager,Onsite,65,ADHD,Medium,5,3,Eye Strain,2,$60K-80K
2025-06-14,32,20-35,Male,North America,Education,Account Manager,Remote,55,Burnout,Medium,5,1,Shoulder Pain; Neck Pain,4,$60K-80K
2025-06-14,50,36-50,Female,Africa,Education,Account Manager,Onsite,37,Stress Disorder,Medium,5,2,Neck Pain,1,$60K-80K
2025-06-14,47,36-50,Female,Europe,Manufacturing,Account Manager,Remote,45,None,Low,3,4,Shoulder Pain; Eye Strain; Neck Pain,3,$80K-100K
2025-06-15,53,51-65,Male,Asia,Customer Service,Account Manager,Onsite,65,Burnout,Low,3,3,Back Pain,1,$60K-80K
2025-06-15,22,20-35,Female,Europe,Professional Services,Account Manager,Hybrid,51,Stress Disorder,High,7,3,None,3,$120K+
2025-06-15,32,20-35,Female,Asia,Professional Services,Account Manager,Onsite,44,Stress Disorder,Low,2,4,Shoulder Pain; Eye Strain,1,$40K-60K
2025-06-15,26,20-35,Female,Asia,Manufacturing,Account Manager,Remote,46,Burnout,High,7,4,Shoulder Pain; Eye Strain; Wrist Pain,1,$80K-100K
2025-06-16,47,36-50,Male,Oceania,Marketing,Account Manager,Onsite,64,Anxiety,Low,1,3,Back Pain; Shoulder Pain; Eye Strain,1,$80K-100K
2025-06-16,35,20-35,Non-binary,Asia,Professional Services,Account Manager,Onsite,65,PTSD,Low,1,3,Back Pain; Eye Strain,3,$60K-80K
2025-06-16,30,20-35,Male,South America,Manufacturing,Account Manager,Hybrid,38,Stress Disorder,Medium,4,4,Eye Strain,2,$40K-60K
2025-06-16,63,51-65,Male,Africa,Retail,Account Manager,Hybrid,38,None,High,7,1,Back Pain; Eye Strain,2,$60K-80K
2025-06-16,30,20-35,Male,Asia,Retail,Account Manager,Hybrid,55,Anxiety,Low,2,3,Eye Strain,4,$60K-80K
2025-06-16,31,20-35,Female,Africa,Technology,Account Manager,Hybrid,55,Stress Disorder,Medium,5,2,Eye Strain,5,$80K-100K
2025-06-16,54,51-65,Female,Oceania,Customer Service,Account Manager,Onsite,63,Stress Disorder,Medium,5,1,Back Pain; Eye Strain,2,$80K-100K
2025-06-17,39,36-50,Female,South America,Manufacturing,Account Manager,Hybrid,62,None,High,8,1,None,5,$60K-80K
2025-06-17,40,36-50,Female,Oceania,Education,Account Manager,Onsite,37,ADHD,High,8,2,None,1,$80K-100K
2025-06-17,43,36-50,Female,Asia,Healthcare,Account Manager,Hybrid,37,Burnout,Medium,5,4,Eye Strain,1,$80K-100K
2025-06-17,38,36-50,Female,Oceania,Professional Services,Account Manager,Hybrid,62,ADHD,Low,3,2,Back Pain,1,$80K-100K
2025-06-17,34,20-35,Female,Oceania,Finance,Account Manager,Remote,61,Stress Disorder,Low,2,2,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,5,$100K-120K
2025-06-18,27,20-35,Male,Europe,Professional Services,Account Manager,Onsite,60,None,Medium,5,1,Eye Strain; Neck Pain,2,$40K-60K
2025-06-18,55,51-65,Female,Africa,Technology,Account Manager,Hybrid,41,None,Medium,5,2,Back Pain; Eye Strain,1,$60K-80K
2025-06-19,26,20-35,Male,South America,Professional Services,Account Manager,Onsite,40,Anxiety,Medium,4,3,Shoulder Pain,2,$40K-60K
2025-06-19,56,51-65,Female,North America,Marketing,Account Manager,Hybrid,60,ADHD,Medium,6,1,Neck Pain; Wrist Pain,4,$80K-100K
2025-06-19,60,51-65,Female,South America,Professional Services,Account Manager,Onsite,37,Stress Disorder,Medium,6,2,Eye Strain; Neck Pain; Wrist Pain,4,$80K-100K
2025-06-19,35,20-35,Female,Asia,Retail,Account Manager,Onsite,56,Burnout,Low,2,3,Eye Strain; Neck Pain,3,$60K-80K
2025-06-19,58,51-65,Female,Oceania,Finance,Account Manager,Hybrid,46,Depression,Medium,6,3,Back Pain; Eye Strain,3,$60K-80K
2025-06-19,31,20-35,Non-binary,Asia,Finance,Account Manager,Onsite,50,None,Medium,5,2,Eye Strain,1,$100K-120K
2025-06-20,56,51-65,Prefer not to say,Europe,Education,Account Manager,Hybrid,38,Burnout,High,8,3,Eye Strain; Neck Pain,4,$80K-100K
2025-06-20,48,36-50,Male,North America,Manufacturing,Account Manager,Remote,57,PTSD,High,8,3,Back Pain; Neck Pain,5,$40K-60K
2025-06-20,60,51-65,Female,North America,Marketing,Account Manager,Onsite,36,None,Medium,5,3,Shoulder Pain; Eye Strain; Wrist Pain,4,$40K-60K
2025-06-20,28,20-35,Male,Europe,Healthcare,Account Manager,Onsite,58,Anxiety,Low,2,2,Back Pain; Eye Strain,2,$80K-100K
2025-06-20,42,36-50,Female,Oceania,Manufacturing,Account Manager,Onsite,35,Burnout,Medium,6,1,Shoulder Pain; Eye Strain; Neck Pain,4,$80K-100K
2025-06-20,52,51-65,Female,Oceania,Manufacturing,Account Manager,Hybrid,54,None,Medium,6,4,Shoulder Pain; Eye Strain,4,$40K-60K
2025-06-21,63,51-65,Male,Oceania,Manufacturing,Account Manager,Hybrid,41,None,Medium,5,4,Back Pain; Shoulder Pain,2,$80K-100K
2025-06-21,45,36-50,Male,Oceania,Professional Services,Account Manager,Onsite,35,ADHD,Low,1,1,Eye Strain,2,$80K-100K
2025-06-21,22,20-35,Female,Europe,Healthcare,Account Manager,Remote,64,PTSD,Medium,5,3,Shoulder Pain,4,$60K-80K
2025-06-21,36,36-50,Male,Europe,Healthcare,Account Manager,Onsite,38,None,Low,3,1,Back Pain; Neck Pain,2,$80K-100K
2025-06-21,55,51-65,Male,South America,Education,Account Manager,Hybrid,38,None,High,7,2,Eye Strain,4,$80K-100K
2025-06-22,22,20-35,Male,Africa,Healthcare,Account Manager,Onsite,59,Burnout,Medium,6,5,Shoulder Pain,2,$80K-100K
2025-06-22,37,36-50,Prefer not to say,Oceania,Technology,Account Manager,Hybrid,42,None,High,8,1,Back Pain; Shoulder Pain; Eye Strain,4,$40K-60K
2025-06-22,46,36-50,Female,Europe,Technology,Account Manager,Hybrid,41,ADHD,Medium,6,4,Back Pain; Shoulder Pain,3,$40K-60K
2025-06-23,23,20-35,Female,Africa,Marketing,Account Manager,Onsite,59,ADHD,Low,2,4,Eye Strain; Neck Pain,4,$60K-80K
2025-06-23,44,36-50,Male,Asia,Marketing,Account Manager,Onsite,56,PTSD,Low,3,2,Back Pain; Shoulder Pain; Eye Strain; Wrist Pain,1,$80K-100K
2025-06-23,23,20-35,Male,Oceania,Manufacturing,Account Manager,Hybrid,62,None,High,8,1,Back Pain; Shoulder Pain,4,$80K-100K
2025-06-23,36,36-50,Female,Oceania,Education,Account Manager,Hybrid,62,PTSD,Medium,5,3,Eye Strain; Neck Pain,2,$80K-100K
2025-06-23,65,51-65,Female,Africa,Manufacturing,Account Manager,Onsite,45,Anxiety,High,7,5,Back Pain,1,$40K-60K
2025-06-23,60,51-65,Female,South America,Technology,Account Manager,Hybrid,55,ADHD,Medium,5,2,Shoulder Pain; Eye Strain,2,$60K-80K
2025-06-23,62,51-65,Non-binary,North America,Customer Service,Account Manager,Onsite,62,Anxiety,Medium,5,5,None,2,$40K-60K
2025-06-23,43,36-50,Male,Asia,Customer Service,Account Manager,Remote,61,Depression,Medium,4,5,Shoulder Pain,3,$40K-60K
2025-06-23,55,51-65,Female,Africa,Education,Account Manager,Onsite,54,PTSD,Low,3,2,Shoulder Pain; Eye Strain,3,$120K+
2025-06-24,52,51-65,Male,Africa,Technology,Account Manager,Onsite,53,None,Low,2,2,Shoulder Pain; Eye Strain,3,$40K-60K
2025-06-24,35,20-35,Male,North America,Education,Account Manager,Hybrid,49,None,Low,3,2,Back Pain; Shoulder Pain,4,$60K-80K
2025-06-24,30,20-35,Female,Africa,Retail,Account Manager,Onsite,37,None,High,9,3,Back Pain; Shoulder Pain,2,$40K-60K
2025-06-25,65,51-65,Male,Africa,Education,Account Manager,Onsite,49,None,Medium,5,3,Back Pain; Shoulder Pain; Eye Strain,2,$80K-100K
2025-06-25,44,36-50,Female,Europe,Healthcare,Account Manager,Hybrid,51,Anxiety,Low,1,5,None,3,$60K-80K
2025-06-25,42,36-50,Female,Oceania,Manufacturing,Account Manager,Hybrid,64,ADHD,High,9,3,Back Pain; Shoulder Pain; Eye Strain,2,$80K-100K
2025-06-25,62,51-65,Female,Oceania,Customer Service,Account Manager,Hybrid,57,None,Low,1,4,Back Pain; Neck Pain,3,$80K-100K
2025-06-25,50,36-50,Female,Africa,Professional Services,Account Manager,Remote,56,PTSD,Low,3,4,Back Pain,4,$80K-100K
2025-06-25,52,51-65,Male,Africa,Healthcare,Account Manager,Hybrid,62,ADHD,Low,2,2,Back Pain; Eye Strain,3,$120K+
2025-06-26,65,51-65,Male,Europe,Finance,Account Manager,Onsite,45,Stress Disorder,Medium,6,2,Back Pain,2,$40K-60K
2025-06-26,47,36-50,Male,Africa,Manufacturing,Account Manager,Hybrid,52,PTSD,Medium,6,4,Back Pain; Shoulder Pain; Neck Pain,2,$60K-80K
2025-06-26,23,20-35,Female,Asia,Technology,Account Manager,Onsite,58,Anxiety,Medium,6,4,Shoulder Pain,2,$60K-80K
2025-06-26,22,20-35,Male,Africa,Healthcare,Account Manager,Remote,48,ADHD,High,9,2,Back Pain; Shoulder Pain; Eye Strain,3,$60K-80K
2025-06-26,34,20-35,Male,Africa,Education,Account Manager,Onsite,36,Depression,Low,3,4,Back Pain; Shoulder Pain; Neck Pain,2,$80K-100K
2025-06-26,42,36-50,Male,North America,Technology,Account Manager,Onsite,45,ADHD,Low,1,3,None,3,$80K-100K
2025-06-01,32,20-35,Female,Africa,Education,Business Analyst,Onsite,36,ADHD,High,10,3,Shoulder Pain; Eye Strain,2,$80K-100K
2025-06-01,52,51-65,Male,Oceania,Customer Service,Business Analyst,Onsite,61,Burnout,Medium,6,4,Back Pain; Shoulder Pain,3,$60K-80K
2025-06-01,64,51-65,Male,North America,Technology,Business Analyst,Remote,35,ADHD,Medium,4,3,Eye Strain; Wrist Pain,4,$40K-60K
2025-06-01,40,36-50,Male,North America,Technology,Business Analyst,Remote,50,None,Low,3,1,Back Pain; Shoulder Pain,3,$60K-80K
2025-06-02,45,36-50,Female,South America,Technology,Business Analyst,Onsite,57,PTSD,Low,2,3,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,3,$80K-100K
2025-06-02,51,51-65,Female,North America,Technology,Business Analyst,Hybrid,51,None,High,8,3,Back Pain; Eye Strain,5,$40K-60K
2025-06-02,42,36-50,Female,Oceania,Technology,Business Analyst,Remote,60,None,High,8,4,Eye Strain; Wrist Pain,3,$100K-120K
2025-06-02,43,36-50,Female,Asia,Healthcare,Business Analyst,Onsite,65,PTSD,High,7,4,Back Pain; Neck Pain,3,$100K-120K
2025-06-02,57,51-65,Female,Europe,Marketing,Business Analyst,Hybrid,48,None,High,9,2,Shoulder Pain; Wrist Pain,1,$80K-100K
2025-06-03,54,51-65,Male,South America,Marketing,Business Analyst,Hybrid,43,Burnout,Low,3,3,Shoulder Pain; Eye Strain; Wrist Pain,3,$80K-100K
2025-06-03,44,36-50,Male,Europe,Professional Services,Business Analyst,Onsite,53,None,Medium,5,4,Back Pain,3,$80K-100K
2025-06-03,36,36-50,Female,Oceania,Marketing,Business Analyst,Onsite,39,Burnout,High,9,3,Back Pain; Shoulder Pain; Neck Pain,3,$100K-120K
2025-06-04,61,51-65,Female,South America,Manufacturing,Business Analyst,Onsite,41,PTSD,Medium,5,3,None,3,$60K-80K
2025-06-04,63,51-65,Male,Africa,Manufacturing,Business Analyst,Hybrid,55,None,Medium,6,4,Shoulder Pain; Eye Strain; Neck Pain,3,$60K-80K
2025-06-04,26,20-35,Female,North America,Manufacturing,Business Analyst,Hybrid,64,None,High,10,4,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,3,$40K-60K
2025-06-04,31,20-35,Male,Europe,Professional Services,Business Analyst,Onsite,60,None,Low,3,3,Back Pain; Shoulder Pain; Eye Strain,5,$60K-80K
2025-06-04,43,36-50,Male,Europe,Healthcare,Business Analyst,Onsite,57,None,Low,3,4,Back Pain; Eye Strain,1,$80K-100K
2025-06-04,41,36-50,Female,Asia,Education,Business Analyst,Hybrid,41,Burnout,Medium,6,3,Shoulder Pain; Eye Strain,3,$60K-80K
2025-06-05,61,51-65,Female,Europe,Manufacturing,Business Analyst,Onsite,38,Anxiety,Medium,4,4,None,1,$60K-80K
2025-06-05,36,36-50,Female,Africa,Manufacturing,Business Analyst,Remote,63,None,Medium,4,4,None,3,$60K-80K
2025-06-05,25,20-35,Male,Oceania,Marketing,Business Analyst,Hybrid,38,Burnout,Low,1,4,Back Pain; Eye Strain,1,$60K-80K
2025-06-05,47,36-50,Male,Oceania,Education,Business Analyst,Remote,47,Burnout,Medium,4,5,None,5,$80K-100K
2025-06-06,59,51-65,Male,Asia,Professional Services,Business Analyst,Onsite,57,Stress Disorder,Medium,4,3,Back Pain,4,$60K-80K
2025-06-06,38,36-50,Female,Asia,Finance,Business Analyst,Onsite,42,Anxiety,High,8,5,Back Pain,2,$60K-80K
2025-06-06,35,20-35,Female,North America,Marketing,Business Analyst,Onsite,37,Anxiety,High,8,1,Shoulder Pain; Eye Strain,5,$80K-100K
2025-06-06,39,36-50,Male,Asia,Marketing,Business Analyst,Hybrid,60,Burnout,Medium,5,5,None,4,$60K-80K
2025-06-06,54,51-65,Male,Europe,Education,Business Analyst,Hybrid,37,Depression,High,10,3,Back Pain; Shoulder Pain,1,$80K-100K
2025-06-07,43,36-50,Female,North America,Finance,Business Analyst,Onsite,53,PTSD,Medium,4,5,Back Pain; Shoulder Pain,2,$80K-100K
2025-06-07,50,36-50,Female,Africa,Professional Services,Business Analyst,Onsite,57,PTSD,Medium,4,3,Back Pain; Eye Strain,2,$100K-120K
2025-06-07,33,20-35,Male,North America,Manufacturing,Business Analyst,Onsite,53,Depression,Low,3,2,Back Pain; Shoulder Pain; Neck Pain,2,$80K-100K
2025-06-07,59,51-65,Prefer not to say,Europe,Manufacturing,Business Analyst,Hybrid,40,Burnout,High,10,1,Shoulder Pain; Eye Strain; Neck Pain,1,$80K-100K
2025-06-07,46,36-50,Male,Africa,Manufacturing,Business Analyst,Remote,50,None,Medium,4,3,Neck Pain; Wrist Pain,5,$80K-100K
2025-06-08,25,20-35,Male,North America,Healthcare,Business Analyst,Hybrid,47,Depression,Medium,6,4,Back Pain; Eye Strain; Neck Pain,3,$100K-120K
2025-06-08,41,36-50,Male,Asia,Professional Services,Business Analyst,Onsite,35,Burnout,Medium,4,3,None,1,$100K-120K
2025-06-08,59,51-65,Male,Europe,Education,Business Analyst,Onsite,45,ADHD,Medium,4,4,Neck Pain,2,$100K-120K
2025-06-08,44,36-50,Male,Oceania,Manufacturing,Business Analyst,Hybrid,47,Burnout,High,7,5,Shoulder Pain,1,$40K-60K
2025-06-09,35,20-35,Male,South America,Professional Services,Business Analyst,Hybrid,43,PTSD,High,9,3,Back Pain; Eye Strain,4,$80K-100K
2025-06-09,56,51-65,Male,Africa,Education,Business Analyst,Onsite,65,Anxiety,High,10,5,Back Pain; Shoulder Pain; Eye Strain,2,$80K-100K
2025-06-09,49,36-50,Female,Europe,Technology,Business Analyst,Hybrid,49,Depression,Low,2,2,Back Pain; Neck Pain,1,$80K-100K
2025-06-09,38,36-50,Female,Oceania,Manufacturing,Business Analyst,Remote,57,Anxiety,Medium,5,3,Back Pain; Neck Pain,4,$40K-60K
2025-06-09,45,36-50,Non-binary,Europe,Customer Service,Business Analyst,Hybrid,44,PTSD,High,7,3,Shoulder Pain; Eye Strain,5,$80K-100K
2025-06-09,41,36-50,Female,Oceania,Healthcare,Business Analyst,Hybrid,64,Anxiety,Medium,6,1,Shoulder Pain; Eye Strain; Wrist Pain,2,$80K-100K
2025-06-10,56,51-65,Female,Oceania,Professional Services,Business Analyst,Onsite,50,ADHD,High,7,3,Back Pain,1,$40K-60K
2025-06-10,65,51-65,Male,Oceania,Manufacturing,Business Analyst,Remote,65,None,Low,3,5,Eye Strain,3,$120K+
2025-06-10,38,36-50,Male,North America,Professional Services,Business Analyst,Hybrid,51,Burnout,High,9,3,Shoulder Pain; Wrist Pain,5,$60K-80K
2025-06-11,22,20-35,Female,North America,Manufacturing,Business Analyst,Hybrid,37,Anxiety,Low,3,3,Back Pain; Shoulder Pain,3,$40K-60K
2025-06-11,47,36-50,Female,Africa,Retail,Business Analyst,Onsite,41,None,Medium,4,4,Back Pain; Wrist Pain,3,$100K-120K
2025-06-11,34,20-35,Female,Europe,Technology,Business Analyst,Hybrid,53,ADHD,High,9,5,Shoulder Pain,2,$60K-80K
2025-06-11,56,51-65,Male,South America,Marketing,Business Analyst,Onsite,60,Depression,Medium,4,3,Back Pain; Shoulder Pain; Wrist Pain,4,$80K-100K
2025-06-11,54,51-65,Male,South America,Marketing,Business Analyst,Onsite,37,ADHD,Low,3,2,Eye Strain,1,$40K-60K
2025-06-11,40,36-50,Male,South America,Technology,Business Analyst,Onsite,50,ADHD,Medium,6,2,Back Pain; Eye Strain,1,$100K-120K
2025-06-12,44,36-50,Male,South America,Finance,Business Analyst,Onsite,59,Burnout,Medium,4,1,Eye Strain,3,$80K-100K
2025-06-12,41,36-50,Male,Europe,Finance,Business Analyst,Hybrid,63,ADHD,Medium,6,5,Back Pain; Eye Strain,4,$60K-80K
2025-06-12,45,36-50,Male,Europe,Technology,Business Analyst,Remote,57,PTSD,Medium,6,5,None,4,$60K-80K
2025-06-13,64,51-65,Female,Asia,Technology,Business Analyst,Hybrid,54,Stress Disorder,High,8,2,Eye Strain,3,$60K-80K
2025-06-13,30,20-35,Male,Oceania,Professional Services,Business Analyst,Onsite,63,None,Low,1,4,Back Pain; Eye Strain,3,$60K-80K
2025-06-13,37,36-50,Male,Europe,Manufacturing,Business Analyst,Hybrid,38,None,Low,3,4,Back Pain; Shoulder Pain,2,$120K+
